time,AUV0_x,AUV0_y,AUV0_z,AUV1_x,AUV1_y,AUV1_z,AUV2_x,AUV2_y,AUV2_z,AUV3_x,AUV3_y,AUV3_z,AUV4_x,AUV4_y,AUV4_z,AUV5_x,AUV5_y,AUV5_z,AUV6_x,AUV6_y,AUV6_z,AUV7_x,AUV7_y,AUV7_z,AUV8_x,AUV8_y,AUV8_z,AUV9_x,AUV9_y,AUV9_z,AUV10_x,AUV10_y,AUV10_z,AUV11_x,AUV11_y,AUV11_z,AUV12_x,AUV12_y,AUV12_z
0.0,0.0,0.0,-10.0,-45.0,-45.0,-15.0,-40.0,40.0,-20.0,35.0,35.0,-25.0,35.0,-35.0,-5.0,-50.0,-50.0,-5.0,35.0,35.0,-10.0,-50.0,50.0,0.0,30.0,-30.0,-15.0,-31.875,-29.375,-10.9375,-18.75,-13.75,-6.875,12.5,22.5,-8.75,-10.0,10.0,-7.5
0.1,0.06,0.1570796244401518,-10.025,-45.00211704587781,-44.99505211226856,-15.004952112270399,-40.00475138095028,40.00494470619054,-20.004955293814422,35.01237497532673,35.00496511375314,-25.004934886231524,35.01236289888927,-34.99503490595161,-4.995039552043166,-49.99773175797638,-49.996414028569355,-4.995049562896838,35.01237356726546,35.00495157332018,-9.99504799290491,-50.012374515965654,49.99559835103471,0.004712503768676317,30.004910203506874,-30.00182055433504,-15.004949075646119,-31.875246486438172,-29.374521389073507,-10.937934918799307,-18.74968242439563,-13.74965290611491,-6.874503958703777,12.501057125430068,22.50041915865055,-8.749532652777907,-10.00073827272279,9.999385030357208,-7.5000093047402645
0.2,0.12,0.3141591994442796,-10.05,-45.00080053097839,-44.98008854126232,-15.019888540908237,-40.01028950254384,40.019866994429066,-20.019933005915846,35.049748359124195,35.020146170270436,-25.01965386565883,35.049570403308046,-34.979854980855364,-4.982382674988026,-49.991717251724836,-49.983404626355686,-4.980085760609721,35.04746086914215,35.019935466835854,-9.980018797481094,-50.04927335740892,49.98789512025934,0.016708370866280485,30.028113151940634,-30.0022565698597,-15.019863227413872,-31.875607460103296,-29.370899752617145,-10.940689696815465,-18.747125767951587,-13.7466371162199,-6.8707957050101385,12.508098923761509,22.503155461990378,-8.746306324532682,-10.004774747549016,9.99634428701275,-7.5004503387928425
0.3,0.18,0.47123867557637505,-10.075,-44.986294894963855,-44.954889889503946,-15.044589862210161,-40.00378853470483,40.044940633542126,-20.04475935169071,35.11207854363492,35.04610464150187,-25.043667878563795,35.11136388664546,-34.95390535799868,-4.9706165898619705,-49.97895373302701,-49.96030490060172,-4.955019859049092,35.091184413917745,35.045027406235874,-9.954686779948378,-50.0960719007723,49.98603838810738,0.03213617581045362,30.07599984023468,-29.994002469830235,-15.044622995891471,-31.872452662127344,-29.36078161929824,-10.946784935040741,-18.739177876101937,-13.737788934153176,-6.860647530128106,12.523819412756401,22.510132787870706,-8.73824674293109,-10.01075307525129,9.993210691186567,-7.502609710897424
0.4,0.24,0.6283180034004607,-10.1,-44.95353678630701,-44.918889911102504,-15.07849058741036,-39.97675131617835,40.080770567693435,-20.07882950283167,35.199061558209266,35.08377542719531,-25.076713825154073,35.1975250898664,-34.91625981881361,-4.966084897776981,-49.95258167794736,-49.926809032231944,-4.9209018493325845,35.132974694487785,35.07828270649451,-9.918881253977972,-50.12774637325127,49.99393960973064,0.04761188851719517,30.14867902917336,-29.97478450970196,-15.079216532854955,-31.859787674897095,-29.34131480616379,-10.955597871103564,-18.721987573386958,-13.720428780042775,-6.841628635224307,12.546918140257166,22.52352582811314,-8.72452295140386,-10.010058710305206,9.995641847721743,-7.508420239849437
0.5,0.3,0.7853971334806061,-10.125,-44.90237795051971,-44.87125536315397,-15.120906678334835,-39.92678312869667,40.12835434810903,-20.12127164854632,35.30986965810515,35.134441398724924,-25.11779826076672,35.30773952217295,-34.86562019000444,-4.9685740056750465,-49.90614579608851,-49.882216962941904,-4.890667485295253,35.17319256216331,35.114979575586005,-9.872391344191591,-50.13509381219905,50.01202817897829,0.06086441443895116,30.24563336484877,-29.943728788060824,-15.12394769002012,-31.831436284676045,-29.31138986644283,-10.965604284889633,-18.691438029225722,-13.69292700278709,-6.814388571951952,12.576943977453801,22.544899156705473,-8.705649359692748,-9.990755390349289,10.007936533235899,-7.519979230275048
0.6,0.36,0.9424760163809428,-10.15,-44.835883395598636,-44.81107601678724,-15.171496732885155,-39.856439260605804,40.18883647897079,-20.170989697646483,35.41583412940257,35.19691704768029,-25.166785461714415,35.440841007585604,-34.80037656145666,-4.977253662474295,-49.83785954659866,-49.82561594950131,-4.868069138645822,35.222400216943456,35.15686633238385,-9.814368258976334,-50.11823778894187,50.04095926654745,0.07171861580771136,30.36615751843886,-29.89992182044699,-15.173809725542153,-31.782781215277023,-29.27039934082564,-10.97614075898618,-18.643538357806822,-13.654771620672882,-6.783267656672301,12.617500527953256,22.574989400155385,-8.68294854082889,-9.947179531582309,10.031257646297433,-7.53847578473497
0.7000000000000001,0.42000000000000004,1.0995546026656802,-10.175,-44.7591918781168,-44.73760436411101,-15.224543226501588,-39.77165155804477,40.26317682906419,-20.220416072859106,35.49570074400112,35.25621408485217,-25.22695641627864,35.581290230090076,-34.720174049910426,-4.993218187298762,-49.7519052494345,-49.75640747201982,-4.8521671557618635,35.290516619948036,35.20837409990227,-9.743146907384578,-50.077576697242705,50.08157265612977,0.08082856564828858,30.509700771918578,-29.842595891518503,-15.21981209327315,-31.71181396825523,-29.217620118758084,-10.98760185954414,-18.575288753065355,-13.605492704743497,-6.752134886583916,12.674847855382813,22.614887109475497,-8.657080734581049,-9.879563077448287,10.066412106401312,-7.5618052734102195
0.8,0.48,1.2566328428991207,-10.2,-44.678093876776195,-44.650405834830785,-15.271179881057979,-39.67980876409625,40.35190360957479,-20.26265869341338,35.55025578207185,35.303973215931144,-25.29820754868057,35.708731874006226,-34.626466538612675,-5.017978578779905,-49.656447401658205,-49.67463379802095,-4.8432139359690485,35.378893678568105,35.271682517868605,-9.656897913000654,-50.01410874736441,50.134429778230825,0.0897591769453904,30.674678203957413,-29.771356414994397,-15.26168590492008,-31.619736873587012,-29.152557365813344,-10.99891366923748,-18.48586305768006,-13.5448009586755,-6.723553476967153,12.754314307175251,22.66593430456629,-8.626939354492157,-9.78832753060589,10.113986430815034,-7.586199661283422
0.9,0.54,1.4137106876456766,-10.225,-44.59662838560783,-44.549171740248084,-15.309483431692739,-39.58663586072655,40.455265969404486,-20.297000244736967,35.585640635725376,35.33999506976353,-25.380184417147102,35.816532031979975,-34.52049817085566,-5.047196899297763,-49.56030476378643,-49.58078314581083,-4.842306692596123,35.48619456675204,35.346724773707614,-9.55369874728814,-49.937695173276246,50.19650752775852,0.10051396798850877,30.840535157245565,-29.687857082187403,-15.30285148223374,-31.510779966141413,-29.075290803687764,-11.00832049954529,-18.37776781672191,-13.472932607443395,-6.698859235450609,12.85682624887097,22.728515308880798,-8.590285405064428,-9.673579595146181,10.174113990528843,-7.608786706258314
