time,AUV1_ESO_Reference,AUV1_ESO_Estimation,AUV2_ESO_Reference,AUV2_ESO_Estimation,AUV3_ESO_Reference,AUV3_ESO_Estimation,AUV4_ESO_Reference,AUV4_ESO_Estimation,AUV5_ESO_Reference,AUV5_ESO_Estimation,AUV6_ESO_Reference,AUV6_ESO_Estimation,AUV7_ESO_Reference,AUV7_ESO_Estimation,AUV8_ESO_Reference,AUV8_ESO_Estimation,AUV9_ESO_Reference,AUV9_ESO_Estimation,AUV10_ESO_Reference,AUV10_ESO_Estimation,AUV11_ESO_Reference,AUV11_ESO_Estimation,AUV12_ESO_Reference,AUV12_ESO_Estimation
0.0,0.0,0.0016353893157875694,0.0,0.0022802251052264698,0.0,-0.005141028001488399,0.0,-0.006142015536191562,0.0,-0.001589002302173579,0.0,-0.003459824158184711,0.0,0.004362841791020739,0.0,-0.0015890023021736621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0025175469270956484,-0.03634017043263929,0.017679792109737913,-0.024705363622615176,-0.07436387206594199,-0.15151125089520043,-0.0644888096777649,-0.17100607806715565,-0.004853089449888591,0.0022676028290724132,-0.07193581083475403,-0.017866069154606923,0.07398245311863749,0.05060859738260558,-0.03342623607182215,-0.08843067859077235,-0.002476978131617395,0.016039491919082285,0.0014627039866443904,-0.03710544462831576,-0.004805090921536092,-0.06896156297152142,0.0017323895645100212,0.05348460239368036
0.2,-0.015042179583919398,-0.09877669587205469,7.528745966051392e-05,-0.09554519307681571,-0.1704009528279055,-0.21122869510587203,-0.13587950274423038,-0.2073450643406384,0.00213270922297841,-0.025959164397148418,-0.12105082212380987,0.058778192962891856,0.15629202759863445,-0.044553288028068995,-0.11677117571268338,-0.16008279967439173,0.003455802863707781,-0.03539175133326735,-0.007320069049591061,-0.0909020689481301,-0.02830025271564992,-0.13396358969983532,0.012033567748388978,0.06321500415087589
0.3,-0.06945378151797552,-0.13992333549495822,-0.044368937130325074,-0.14879827139496396,-0.26060096798395355,-0.24409539734585511,-0.22374333777686975,-0.16224335260851705,0.01471166213519928,-0.08001819388604421,-0.09402425701826278,0.1111868321811793,0.14632061978065017,-0.1357371945203406,-0.20733127281444358,-0.23130914083675216,-0.011367743298544838,-0.11274806626129653,-0.018734428107708322,-0.1545401458132663,-0.048686958806004065,-0.1275048143891396,0.007949271266907514,-0.020344507918746174
0.4,-0.1356950486096619,-0.12296162374924768,-0.12322021711209642,-0.15141875645397215,-0.3383591163823045,-0.21729277739293862,-0.3286911448136607,-0.10575979338795072,0.010319731190656458,-0.13447404574321326,-0.02671699658669835,0.09310403022907847,0.08204934998508459,-0.20661311043095976,-0.2887139251522955,-0.3059737272835771,-0.041365091356155216,-0.1994057970875957,-0.02793264776870287,-0.223022828224669,-0.05419823818322414,-0.10829201407432164,-0.014611181494585165,-0.13701924231598847
0.5,-0.1588060295147444,-0.07525692135861055,-0.16895911425696603,-0.10417716423980956,-0.38533939644525883,-0.1286303542652835,-0.43662783194094995,-0.055152990713341545,-0.04846516306217237,-0.17074073578040172,0.03682600247676335,0.020464363088580486,0.046040593848273956,-0.27905695825849447,-0.3667029911968517,-0.38432171914032126,-0.08850151244843356,-0.28274730628912886,-0.04515114018800424,-0.2938489700108706,-0.05549255812195497,-0.15930468777899523,-0.07368678358550361,-0.25497351332788254
0.6,-0.13963231122027764,-0.017785754364807123,-0.1714395984871816,-0.04339189444907557,-0.18930729284617534,-0.0671676319437054,-0.5019925584696698,0.02280840545564124,-0.12923157180053071,-0.14873353890800026,0.06809884821191546,-0.04662019833482329,-0.005030422669202992,-0.2723927514331336,-0.46083209000920095,-0.461398476004102,-0.15563265293995385,-0.3519737150249269,-0.08999352531045365,-0.36191647757407003,-0.07610299710855152,-0.239632100082862,-0.1381111315070091,-0.37672141502381784
0.7000000000000001,-0.03689082122115677,0.03988018679509787,-0.08902589236152494,0.021287194814699387,-0.06386302080415054,-0.11070062223417332,-0.373054399003617,0.08742922652289882,-0.18987984061453578,-0.09605874360973175,0.08001900825795245,-0.11808508223882175,-0.08916463646072192,-0.2243006248096789,-0.5866880782555515,-0.43467706702371656,-0.2375811660595667,-0.3858522063778064,-0.17956066812653226,-0.416718969013434,-0.13890342423298668,-0.3279280139066529,-0.2190154027756251,-0.5069731835956619
0.8,0.1353578825989637,0.08987025652937439,0.06799339275572486,0.07912674142605831,0.06698983942766622,-0.182790684984099,-0.11052292913577541,0.09204024572225136,-0.17390148550926451,-0.03414657018633632,0.09792020567590913,-0.21012829919020962,-0.1779281447321803,-0.1520706746933837,-0.6864507812281279,-0.3277885082519582,-0.3206874728516167,-0.3412188453755799,-0.3171379911012574,-0.4198642891715865,-0.2487989283283029,-0.4104625216420455,-0.3314223608971973,-0.6393316266045506
0.9,0.35413377156964515,0.12803695107840643,0.27827729587619965,0.12425184731334973,0.17410742083548159,-0.2581694165066412,0.20772899717248727,0.03858643638128552,-0.0693687246126954,0.023478910125697933,0.135316945029853,-0.32732991106829135,-0.2214091368572229,-0.09760350701779714,-0.5354102803830253,-0.22417658057386095,-0.39345034680145763,-0.26897047067591817,-0.47142249056621677,-0.36342773994139305,-0.38129220517491946,-0.49246886726497097,-0.47739870149970554,-0.6827742003623728
1.0,0.5687019693125654,0.15574811039504138,0.4858348061766946,0.15584710976860694,0.27033377557691696,-0.32543722031214845,0.4921618004504584,-0.026037584660092063,0.10248288439727005,0.06066167494205838,0.15190965538118806,-0.4540784269861325,-0.24782453517196196,-0.11447227720562198,-0.25593223097386847,-0.14596727666931458,-0.43868354295297296,-0.18494129680713045,-0.6014931430295618,-0.2925929926229318,-0.5377315246446921,-0.5743642150604156,-0.6624000983925807,-0.5614744184731695
1.1,0.739977374988159,0.1801905597237242,0.6556352976811424,0.17818447587991237,0.3266671458448204,-0.3808370164433858,0.6962063291324634,-0.08629611446518175,0.2585065463868839,0.042599264270487575,0.0007368168263022978,-0.5681813989504018,-0.2960252398517865,-0.17779253913226822,0.040675343081520286,-0.12366528071164287,-0.44291424288566417,-0.10044759604021318,-0.7033404954072551,-0.22822923889807836,-0.7470577705117267,-0.6091533604257735,-0.7256812912592091,-0.4053674671173894
1.2,0.8349793317899139,0.21119519759571487,0.7396464665852991,0.20429328541353042,0.36884878265154836,-0.43480185962064605,0.7816428873985938,-0.12635502558114597,0.3674416005704992,0.00033545812038384315,-0.19639540567459587,-0.5391793509869862,-0.3985008823104858,-0.24479135385554493,0.3240460593869944,-0.19981093779059622,-0.40933507809760317,-0.026586504279749665,-0.7914547305120524,-0.19036668988233496,-0.992619856435353,-0.517994183959315,-0.6471518281449913,-0.2640362989084908
1.3,0.8691311083252485,0.2470758359150443,0.7590441238342731,0.23553150141101367,0.41533788022204365,-0.49251504588244654,0.7908098337117082,-0.11054617564746207,0.4502959298848861,-0.03933248272887016,-0.3273515017832895,-0.40255346026890193,-0.5516040916907957,-0.27836164273204766,0.4572231188849588,-0.2940216771529139,-0.33440697786812057,0.03206777953351434,-0.8158222310775781,-0.1531392460052782,-1.1368163059540377,-0.3953127558914732,-0.5451206076251784,-0.17643501653351362
1.4000000000000001,0.885514117570264,0.2869822488704974,0.74309397132137,0.2719417618571868,0.46682515304333244,-0.5489878317206253,0.7816736693389121,-0.06256614948443498,0.5088029808794156,-0.03863923852602454,-0.15703575449863957,-0.2688231984702501,-0.6597366575227213,-0.21932734268445458,0.46856673765417,-0.3717320066865031,-0.24060451651699286,0.076157782876335,-0.7765265689683157,-0.09395140812570806,-1.0978187346154833,-0.2442297262892804,-0.4291836166012708,-0.23811825703784828
