time,AUV1_Error,AUV2_Error,AUV3_Error,AUV4_Error,AUV5_Error,AUV6_Error,AUV7_Error,AUV8_Error,AUV9_Error,AUV10_Error,AUV11_Error,AUV12_Error
0.0,1.2703495481058988,1.2795721775099582,1.2913330626010098,1.2982522019871114,1.2588374436762313,1.3029877972089479,1.2548278776649016,1.3145392047346287,0.0,0.0,0.0,0.0
0.1,1.241437550232123,1.3081239807754261,1.3460771686643955,1.2777886723841423,1.2314117782093827,1.3537086468446684,1.2784023502177975,1.3012517143702977,0.0036452599733681388,0.0047956791011310165,0.0038636256890088112,0.003919324249301498
0.2,1.2268208165584908,1.3462656787590044,1.400293710970664,1.2642552499668405,1.2215695562783222,1.4085364298589464,1.324972009463173,1.2992332685846582,0.014962214043257465,0.017238962844958582,0.01248648093243976,0.0071949402177918925
0.3,1.223487450384361,1.390852596705897,1.449852268225062,1.2543352239737442,1.224976045110957,1.466630238895888,1.392306547595006,1.3019772276422996,0.033551179831913816,0.03352153077270585,0.022172300621902834,0.006906968446853816
0.4,1.227210922705084,1.4374199955245885,1.4926423021725883,1.2450617289214967,1.23853933161932,1.5289961901679852,1.4711976477435318,1.30597324951428,0.05693918241179683,0.05073981070709518,0.03464691974163241,0.027348634397382606
0.5,1.2344362364809822,1.482162827428208,1.527501476939473,1.234327865615257,1.2592503925405394,1.5969290096368114,1.5524096794916145,1.3101492742591694,0.08084520128092562,0.06629897091480087,0.05040986285061279,0.055514996830422964
0.6,1.2420087435810883,1.5221598603823652,1.5641340879222467,1.2217182681390955,1.2843883493596873,1.6673113229981475,1.630591520354561,1.3158010620010778,0.10282533724656083,0.08354875782905662,0.07116302505546065,0.08347176625261428
0.7000000000000001,1.2478963666473688,1.555710738250211,1.616760059932696,1.2095346847756372,1.3123736877266081,1.7371584963691777,1.7049109063987002,1.3254164810269022,0.12101169824165445,0.10204406569048245,0.09628294444884732,0.11112930091444116
0.8,1.2504358633897728,1.5813425758258628,1.690281418262629,1.1983261395183638,1.3408416554068237,1.8079805273644052,1.7748941953188127,1.3412601514693732,0.13458263336610313,0.11833215820824824,0.12199061399889338,0.13890353007685138
0.9,1.2473276162603448,1.597431202970216,1.784625234409397,1.1850089195018714,1.3658554257370024,1.883193143883009,1.8431599254591737,1.365702984871281,0.14661689669974814,0.13029028644614107,0.14077974861700912,0.15335932498506988
1.0,1.2372373870125148,1.6036717495096675,1.8966696392723745,1.1670040287564862,1.3831595167253672,1.9646518312127528,1.916715420979262,1.3922239729883132,0.16442763632917348,0.14054242313079018,0.14589078648107703,0.14103737433076674
1.1,1.220468224698212,1.6012126966805074,2.0119284565503306,1.1432436686132599,1.3919905167219606,2.0488477637235136,1.9968900799370708,1.413734305836035,0.19417552829637794,0.1569807997938165,0.14203992056540013,0.1188245093408684
1.2,1.198364481764721,1.5916707895944637,2.119505074551832,1.1137271524334054,1.3950281112306533,2.1372931881833352,2.078697004970388,1.4276912118506035,0.23469271904516242,0.18492325429274084,0.14391971312210997,0.12318266384343232
1.3,1.1721726266966368,1.5762094542555,2.217480491334703,1.079338309943942,1.392712249561916,2.236678661524128,2.157511778759869,1.4356119396611404,0.28220360419146695,0.2253492484821143,0.16719570787576887,0.14615371052682266
1.4000000000000001,1.1424439378395097,1.55487385628055,2.307136025084038,1.0408042693412554,1.3847617347674843,2.3437395352027006,2.231241115991477,1.4388757523267317,0.3320978075014118,0.2733700038880621,0.21284173531776182,0.1619295592857833
1.5,1.1081177444470316,1.5264272049048164,2.3902964587683204,0.9975429041758024,1.3718446323572604,2.449924292331623,2.298394102185502,1.4361888861862295,0.3838250989768803,0.32536730734665975,0.27075079697780724,0.1709003436205624
1.6,1.0680807203868024,1.4901440984707004,2.467399036887534,0.9493897631882722,1.357688436260598,2.549540554573271,2.3573074924716817,1.4271611832520943,0.43713746299526257,0.37815328193987807,0.3320910959602961,0.18519631893775204
1.7,1.0220416673832218,1.447504247595898,2.5393638783802546,0.8976125195821208,1.344827763104441,2.639803297091387,2.410478812410483,1.4121517960841943,0.4913299267107876,0.4295610878580114,0.3930269820993671,0.20947046870153388
1.8,0.9717193505696902,1.399733611273855,2.608986393800642,0.8443186063930369,1.3344014133324529,2.7200787145904,2.459985129506682,1.3956131770492064,0.5441249933490403,0.4778878984074537,0.4502257255857828,0.24023457159864237
1.9000000000000001,0.917531377363659,1.3477010184160925,2.677118720021612,0.7896231984733222,1.326615179416101,2.789097534771897,2.5045193915582913,1.3801949231604804,0.5948757612333057,0.5229938800490955,0.5027909709049158,0.27209672773103816
2.0,0.8597306302505966,1.2921607598390839,2.742704546559008,0.733320114541342,1.3205710075499042,2.8456306971113046,2.5439323571318306,1.366213181399943,0.6433580172702474,0.5649387827021038,0.5503747887828594,0.30139322466795543
2.1,0.7986281765151401,1.2336874944785818,2.8038454468407976,0.6751494044699279,1.31489166624913,2.8903648035605736,2.5799591584140775,1.352551844973073,0.6892911240367058,0.6033003485197913,0.5919452911931351,0.32747599482790174
2.2,0.7345642224517647,1.1727434881280059,2.8599865915736986,0.6149820968827803,1.307214667523832,2.9287937124710903,2.615156813451324,1.3359728990852064,0.7324795440001152,0.6374043164015731,0.6253118623711615,0.3515948494402709
2.3000000000000003,0.668425778600488,1.1097635916970312,2.913289835376735,0.5538036450299796,1.2966430831750988,2.9646383811719708,2.6512943949904426,1.3143002849010172,0.7730377871826428,0.6677349621576231,0.6493356256857524,0.37425442071690196
